Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Imran Tahir,17,17,64.2,1,431,26,04-Dec,16.57,6.69,14.8,2,0
K Rabada,12,12,47,0,368,25,01-Apr,14.72,7.82,11.2,2,0
DL Chahar,17,17,64.3,2,482,22,Mar-20,21.9,7.47,17.5,0,0
S Gopal,14,14,48,1,347,20,03-Dec,17.35,7.22,14.4,0,0
KK Ahmed,9,9,34.5,0,287,19,Mar-30,15.1,8.23,11,0,0
JJ Bumrah,16,16,61.4,1,409,19,Mar-20,21.52,6.63,19.4,0,0
Mohammed Shami,14,14,54,0,469,19,Mar-21,24.68,8.68,17,0,0
YS Chahal,14,14,49.2,1,386,18,Apr-38,21.44,7.82,16.4,1,0
Rashid Khan,15,15,60,1,377,17,Mar-21,22.17,6.28,21.1,0,0
Harbhajan Singh,11,11,44,1,312,16,01-Mar,19.5,7.09,16.5,0,0
SL Malinga,12,12,44.5,0,438,16,Apr-31,27.37,9.76,16.8,2,0
RA Jadeja,16,16,54,1,343,15,03-Sep,22.86,6.35,21.6,0,0
R Ashwin,14,14,55,0,400,15,Mar-23,26.66,7.27,22,0,0
HH Pandya,16,16,42.3,0,390,14,01-Mar,27.85,9.17,18.2,0,0
CH Morris,9,9,33,0,306,13,Mar-22,23.53,9.27,15.2,0,0
RD Chahar,13,13,47,0,308,13,Mar-19,23.69,6.55,21.6,0,0
I Sharma,13,13,46,1,349,13,Mar-38,26.84,7.58,21.2,0,0
B Kumar,15,15,59,1,461,13,01-Feb,35.46,7.81,27.2,0,0
KH Pandya,16,16,46,0,335,12,Mar-34,27.91,7.28,23,0,0
Sandeep Sharma,11,11,42.4,0,352,12,01-Mar,29.33,8.25,21.3,0,0
A Mishra,11,11,40,0,270,11,Mar-17,24.54,6.75,21.8,0,0
AD Russell,14,12,30.1,0,287,11,Feb-21,26.09,9.51,16.4,0,0
JC Archer,11,11,43,2,291,11,Mar-15,26.45,6.76,23.4,0,0
DJ Bravo,12,12,41.1,0,330,11,Mar-33,30,8.01,22.4,0,0
NA Saini,13,13,48,0,397,11,Feb-24,36.09,8.27,26.1,0,0
SM Curran,9,9,33,0,323,10,04-Nov,32.3,9.78,19.8,1,0
SP Narine,12,12,44.2,1,347,10,Feb-19,34.7,7.82,26.6,0,0
AR Patel,14,14,51,0,364,10,01-Feb,36.4,7.13,30.6,0,0
JD Unadkat,11,11,37.2,0,398,10,Feb-26,39.8,10.66,22.4,0,0
PP Chawla,13,13,44.3,0,399,10,Mar-20,39.9,8.96,26.7,0,0
KMA Paul,8,8,27.1,0,237,9,Mar-17,26.33,8.72,18.1,0,0
Mohammad Nabi,8,8,29.1,0,194,8,04-Nov,24.25,6.65,21.8,1,0
S Lamichhane,6,6,23,0,210,8,Mar-40,26.25,9.13,17.2,0,0
SN Thakur,10,9,30,0,281,8,01-Feb,35.12,9.36,22.5,0,0
UT Yadav,11,11,37.5,0,371,8,Mar-36,46.37,9.8,28.3,0,0
GC Viljoen,6,6,23,0,222,7,01-Feb,31.71,9.65,19.7,0,0
HF Gurney,8,8,27,0,238,7,Feb-25,34,8.81,23.1,0,0
Mohammed Siraj,9,9,28.1,1,269,7,Feb-38,38.42,9.55,24.1,0,0
AS Joseph,3,3,8.4,1,87,6,06-Dec,14.5,10.03,8.6,0,1
MM Ali,11,9,25,0,169,6,Feb-18,28.16,6.76,25,0,0
BA Stokes,9,6,16.5,0,189,6,Feb-39,31.5,11.22,16.8,0,0
S Kaul,7,7,27,0,242,6,01-Feb,40.33,8.96,27,0,0
DS Kulkarni,10,10,35,1,335,6,Jan-14,55.83,9.57,35,0,0
O Thomas,4,4,10,0,79,5,02-Jun,15.8,7.9,12,0,0
TA Boult,5,5,19,0,163,5,Feb-27,32.6,8.57,22.8,0,0
JP Behrendorff,5,5,19,0,165,5,Feb-22,33,8.68,22.8,0,0
M Ashwin,10,10,34,0,255,5,Feb-25,51,7.5,40.8,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
